"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"82",1433,1,"Mon",2016-03-28,2016,1899-12-31 03:20:00,"Geelong","Hawthorn",74218,"M.C.G.",2.12,1.71,"188.5",1.71,2.12,0.41,50394.4829157175,23823.5170842825,63025.65,11192.35,0.177584047130018,3
"83",1446,23,"Sat",2017-08-26,2017,1899-12-31 07:25:00,"Geelong","Greater Western Sydney",30087,"Kardinia",2.21,1.66,"167.5",1.66,2.21,0.55,24884.9718309859,5202.02816901408,24884.9718309859,5202.02816901408,0.209042959917547,7
"84",1466,21,"Sat",2017-08-12,2017,1899-12-31 02:10:00,"Geelong","Richmond",32266,"Kardinia",2.25,1.64,"158.5",1.64,2.25,0.61,24884.9718309859,7381.02816901408,24884.9718309859,7381.02816901408,0.296605847864512,2
"85",1477,20,"Fri",2017-08-04,2017,1899-12-31 07:50:00,"Geelong","Sydney",30833,"Kardinia",2.27,1.63,"157.5",1.63,2.27,0.64,24884.9718309859,5948.02816901408,24884.9718309859,5948.02816901408,0.239020892183925,7
"86",1503,17,"Sat",2017-07-15,2017,1899-12-31 01:45:00,"Geelong","Hawthorn",70345,"M.C.G.",1.36,3.13,"184.5",1.36,3.13,1.77,50394.4829157175,19950.5170842825,63025.65,7319.35,0.116132876059192,1
"87",1525,14,"Sun",2017-06-25,2017,1899-12-31 01:10:00,"Geelong","Fremantle",29928,"Kardinia",1.04,10.14,"176.5",1.04,10.14,9.1,24884.9718309859,5043.02816901408,24884.9718309859,5043.02816901408,0.202653561485437,1
"88",1549,11,"Fri",2017-06-02,2017,1899-12-31 07:50:00,"Geelong","Adelaide",30458,"Kardinia",2.1,1.72,"194.5",1.72,2.1,0.38,24884.9718309859,5573.02816901408,24884.9718309859,5573.02816901408,0.223951556259137,7
"89",1559,10,"Thu",2017-05-25,2017,1899-12-31 07:20:00,"Geelong","Port Adelaide",24909,"Kardinia",1.68,2.18,"187.5",1.68,2.18,0.5,24884.9718309859,24.0281690140837,24884.9718309859,24.0281690140837,0.000965569468082123,7
"90",1567,9,"Fri",2017-05-19,2017,1899-12-31 07:50:00,"Geelong","Western Bulldogs",30275,"Kardinia",1.91,1.88,"164.5",1.88,1.91,0.03,24884.9718309859,5390.02816901408,24884.9718309859,5390.02816901408,0.216597720327841,7
"91",1587,6,"Sun",2017-04-30,2017,1899-12-31 03:20:00,"Geelong","Collingwood",46457,"M.C.G.",1.28,3.67,"185.5",1.28,3.67,2.39,50394.4829157175,-3937.48291571754,63025.65,-16568.65,-0.262887411712533,3
