"","Date","Round","Day","Year","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket","Rain","rain.prior.day","rain.2days.prior","rain.3days.prior","rain.past.three.days","Home.Injuries.top5","Home.Injuries.top10","Home.Injuries.top25","Home.Injuries.top50","Home.Injuries.Total","Home.Rating.Points.Missing","Away.Injuries.top5","Away.Injuries.top10","Away.Injuries.top25","Away.Injuries.top50","Away.Injuries.Total","Away.Rating.Points.Missing","Total.Injuries.top5","Total.Injuries.top10","Total.Injuries.top25","Total.Injuries.top50","Total.Injuries.Total","Total.Rating.Points.Missing"
"63",2014-04-27,6,"Sun",2014,"Port Adelaide","Geelong",47007,"Adelaide",2.08,1.74,"185.5",1.74,2.08,0.34,43516.4,3490.6,40427.5357142857,6579.46428571428,0.162747102178413,4,"0","0.4","0.2","1.4","2",0,0,0,0,0,0,0,0,0,1,2,144.755244755245,0,0,0,1,2,144.755244755245
"64",2014-05-03,7,"Sat",2014,"Adelaide","Melbourne",44216,"Adelaide",1.06,8.79,"170.5",1.06,8.79,7.73,43516.4,699.599999999999,46719.6666666667,-2503.66666666666,-0.053589138050357,4,"7","9.6","0","2","11.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",2014-05-10,8,"Sat",2014,"Port Adelaide","Fremantle",38234,"Adelaide",1.54,2.43,"169.5",1.54,2.43,0.89,43516.4,-5282.4,40427.5357142857,-2193.53571428572,-0.0542584571512875,1,"1","0","0","0","0",0,0,0,0,1,67,0,0,0,1,2,116.881118881119,0,0,0,1,3,183.881118881119
"66",2014-05-15,9,"Thu",2014,"Adelaide","Collingwood",50051,"Adelaide",2.71,1.45,"179.5",1.45,2.71,1.26,43516.4,6534.6,46719.6666666667,3331.33333333334,0.0713047324823951,7,"0","0","0","0","0",0,0,0,0,1,61.875,0,0,0,0,0,0,0,0,0,0,1,61.875
"67",2014-05-24,10,"Sat",2014,"Port Adelaide","Hawthorn",52233,"Adelaide",1.53,2.46,"188.5",1.53,2.46,0.93,43516.4,8716.6,40427.5357142857,11805.4642857143,0.292015431490736,7,"0","0.4","0","0","0.4",0,0,0,0,0,0,0,0,3,3,3,276.205456095482,0,0,3,3,3,276.205456095482
"68",2014-06-01,11,"Sun",2014,"Adelaide","Gold Coast",49069,"Adelaide",1.54,2.46,"188.5",1.54,2.46,0.92,43516.4,5552.6,46719.6666666667,2349.33333333334,0.0502857469017331,12,"18.8","1","0","2.2000000000000002","3.2",0,0,0,0,0,0,0,0,1,1,1,95.9333333333333,0,0,1,1,1,95.9333333333333
"69",2014-06-07,12,"Sat",2014,"Port Adelaide","St Kilda",42374,"Adelaide",1.02,13.09,"183.5",1.02,13.09,12.07,43516.4,-1142.4,40427.5357142857,1946.46428571428,0.0481469931650192,4,"1.6","0","3.6","0","3.6",0,1,1,2,4,290.435606060605,0,0,0,1,1,69,0,1,1,3,5,359.435606060605
"70",2014-06-14,13,"Sat",2014,"Adelaide","North Melbourne",47205,"Adelaide",1.85,1.93,"173.5",1.85,1.93,0.0799999999999998,43516.4,3688.6,46719.6666666667,485.333333333336,0.0103882019706191,7,"14.6","0.8","0","0","0.8",0,0,0,0,1,55.8571428571428,0,0,0,0,0,0,0,0,0,0,1,55.8571428571428
"71",2014-06-21,14,"Sat",2014,"Port Adelaide","Western Bulldogs",34258,"Adelaide",1.09,6.98,"188.5",1.09,6.98,5.89,43516.4,-9258.4,40427.5357142857,-6169.53571428572,-0.152607266440571,1,"11.8","0","0","0","0",0,0,1,1,3,204.676379176379,0,0,0,1,1,80.6666666666666,0,0,1,2,4,285.343045843046
"72",2014-06-29,15,"Sun",2014,"Adelaide","Port Adelaide",50552,"Adelaide",3.02,1.38,"179.5",1.38,3.02,1.64,43516.4,7035.6,46719.6666666667,3832.33333333334,0.082028267895747,3,"2","22.2","2.8","4.2","29.2",0,0,0,1,2,132.278195488722,0,0,0,0,0,0,0,0,0,1,2,132.278195488722
